FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
10/06/2014 09:00;10/06/2014 10:00;0;10/06/2014 11:00;10/06/2014 12:00;31390.821
10/06/2014 10:00;10/06/2014 11:00;1;10/06/2014 12:00;10/06/2014 13:00;31390.821
10/06/2014 11:00;10/06/2014 12:00;2;10/06/2014 13:00;10/06/2014 14:00;29012.591
10/06/2014 12:00;10/06/2014 13:00;3;10/06/2014 14:00;10/06/2014 15:00;29633.551
10/06/2014 13:00;10/06/2014 14:00;4;10/06/2014 15:00;10/06/2014 16:00;33978.436
10/06/2014 14:00;10/06/2014 15:00;5;10/06/2014 16:00;10/06/2014 17:00;44351.520
10/06/2014 15:00;10/06/2014 16:00;6;10/06/2014 17:00;10/06/2014 18:00;58153.641
10/06/2014 16:00;10/06/2014 17:00;7;10/06/2014 18:00;10/06/2014 19:00;66697.150
10/06/2014 17:00;10/06/2014 18:00;8;10/06/2014 19:00;10/06/2014 20:00;66272.124
10/06/2014 18:00;10/06/2014 19:00;9;10/06/2014 20:00;10/06/2014 21:00;67849.788
10/06/2014 19:00;10/06/2014 20:00;10;10/06/2014 21:00;10/06/2014 22:00;71981.247
10/06/2014 20:00;10/06/2014 21:00;11;10/06/2014 22:00;10/06/2014 23:00;58291.453
10/06/2014 21:00;10/06/2014 22:00;12;10/06/2014 23:00;11/06/2014 00:00;45076.315
10/06/2014 22:00;10/06/2014 23:00;13;11/06/2014 00:00;11/06/2014 01:00;33212.804
10/06/2014 23:00;11/06/2014 00:00;14;11/06/2014 01:00;11/06/2014 02:00;17121.096
11/06/2014 00:00;11/06/2014 01:00;15;11/06/2014 02:00;11/06/2014 03:00;11828.498
11/06/2014 01:00;11/06/2014 02:00;16;11/06/2014 03:00;11/06/2014 04:00;9757.882
11/06/2014 02:00;11/06/2014 03:00;17;11/06/2014 04:00;11/06/2014 05:00;13402.196
11/06/2014 03:00;11/06/2014 04:00;18;11/06/2014 05:00;11/06/2014 06:00;20625.266
11/06/2014 04:00;11/06/2014 05:00;19;11/06/2014 06:00;11/06/2014 07:00;30103.081
11/06/2014 05:00;11/06/2014 06:00;20;11/06/2014 07:00;11/06/2014 08:00;23109.346
11/06/2014 06:00;11/06/2014 07:00;21;11/06/2014 08:00;11/06/2014 09:00;13890.165
11/06/2014 07:00;11/06/2014 08:00;22;11/06/2014 09:00;11/06/2014 10:00;9082.656
11/06/2014 08:00;11/06/2014 09:00;23;11/06/2014 10:00;11/06/2014 11:00;16292.512
11/06/2014 09:00;11/06/2014 10:00;24;11/06/2014 11:00;11/06/2014 12:00;34483.223
11/06/2014 10:00;11/06/2014 11:00;25;11/06/2014 12:00;11/06/2014 13:00;59089.086
11/06/2014 11:00;11/06/2014 12:00;26;11/06/2014 13:00;11/06/2014 14:00;34254.864
11/06/2014 12:00;11/06/2014 13:00;27;11/06/2014 14:00;11/06/2014 15:00;24156.332
11/06/2014 13:00;11/06/2014 14:00;28;11/06/2014 15:00;11/06/2014 16:00;22695.770
11/06/2014 14:00;11/06/2014 15:00;29;11/06/2014 16:00;11/06/2014 17:00;27529.744
11/06/2014 15:00;11/06/2014 16:00;30;11/06/2014 17:00;11/06/2014 18:00;29220.974
11/06/2014 16:00;11/06/2014 17:00;31;11/06/2014 18:00;11/06/2014 19:00;31163.384
11/06/2014 17:00;11/06/2014 18:00;32;11/06/2014 19:00;11/06/2014 20:00;33095.350
11/06/2014 18:00;11/06/2014 19:00;33;11/06/2014 20:00;11/06/2014 21:00;37388.991
11/06/2014 19:00;11/06/2014 20:00;34;11/06/2014 21:00;11/06/2014 22:00;46095.384
11/06/2014 20:00;11/06/2014 21:00;35;11/06/2014 22:00;11/06/2014 23:00;71911.596
11/06/2014 21:00;11/06/2014 22:00;36;11/06/2014 23:00;12/06/2014 00:00;100191.107
11/06/2014 22:00;11/06/2014 23:00;37;12/06/2014 00:00;12/06/2014 01:00;135941.735
11/06/2014 23:00;12/06/2014 00:00;38;12/06/2014 01:00;12/06/2014 02:00;128722.828
12/06/2014 00:00;12/06/2014 01:00;39;12/06/2014 02:00;12/06/2014 03:00;110376.921
12/06/2014 01:00;12/06/2014 02:00;40;12/06/2014 03:00;12/06/2014 04:00;98131.550
12/06/2014 02:00;12/06/2014 03:00;41;12/06/2014 04:00;12/06/2014 05:00;83326.373
12/06/2014 03:00;12/06/2014 04:00;42;12/06/2014 05:00;12/06/2014 06:00;65969.831
12/06/2014 04:00;12/06/2014 05:00;43;12/06/2014 06:00;12/06/2014 07:00;53813.662
12/06/2014 05:00;12/06/2014 06:00;44;12/06/2014 07:00;12/06/2014 08:00;50593.035
12/06/2014 06:00;12/06/2014 07:00;45;12/06/2014 08:00;12/06/2014 09:00;53838.481
12/06/2014 07:00;12/06/2014 08:00;46;12/06/2014 09:00;12/06/2014 10:00;60361.370
12/06/2014 08:00;12/06/2014 09:00;47;12/06/2014 10:00;12/06/2014 11:00;66765.043
12/06/2014 09:00;12/06/2014 10:00;48;12/06/2014 11:00;12/06/2014 12:00;71540.309
12/06/2014 10:00;12/06/2014 11:00;49;12/06/2014 12:00;12/06/2014 13:00;75390.253
12/06/2014 11:00;12/06/2014 12:00;50;12/06/2014 13:00;12/06/2014 14:00;77122.175
12/06/2014 12:00;12/06/2014 13:00;51;12/06/2014 14:00;12/06/2014 15:00;77832.161
12/06/2014 13:00;12/06/2014 14:00;52;12/06/2014 15:00;12/06/2014 16:00;77128.674
12/06/2014 14:00;12/06/2014 15:00;53;12/06/2014 16:00;12/06/2014 17:00;75174.882
12/06/2014 15:00;12/06/2014 16:00;54;12/06/2014 17:00;12/06/2014 18:00;77469.436
12/06/2014 16:00;12/06/2014 17:00;55;12/06/2014 18:00;12/06/2014 19:00;87636.097
12/06/2014 17:00;12/06/2014 18:00;56;12/06/2014 19:00;12/06/2014 20:00;111152.756
12/06/2014 18:00;12/06/2014 19:00;57;12/06/2014 20:00;12/06/2014 21:00;139937.437
12/06/2014 19:00;12/06/2014 20:00;58;12/06/2014 21:00;12/06/2014 22:00;158108.031
12/06/2014 20:00;12/06/2014 21:00;59;12/06/2014 22:00;12/06/2014 23:00;155230.244
12/06/2014 21:00;12/06/2014 22:00;60;12/06/2014 23:00;13/06/2014 00:00;142626.028
12/06/2014 22:00;12/06/2014 23:00;61;13/06/2014 00:00;13/06/2014 01:00;126648.159
12/06/2014 23:00;13/06/2014 00:00;62;13/06/2014 01:00;13/06/2014 02:00;118408.768
13/06/2014 00:00;13/06/2014 01:00;63;13/06/2014 02:00;13/06/2014 03:00;108263.647
13/06/2014 01:00;13/06/2014 02:00;64;13/06/2014 03:00;13/06/2014 04:00;110628.557
13/06/2014 02:00;13/06/2014 03:00;65;13/06/2014 04:00;13/06/2014 05:00;116366.187
13/06/2014 03:00;13/06/2014 04:00;66;13/06/2014 05:00;13/06/2014 06:00;123195.664
13/06/2014 04:00;13/06/2014 05:00;67;13/06/2014 06:00;13/06/2014 07:00;131402.807
13/06/2014 05:00;13/06/2014 06:00;68;13/06/2014 07:00;13/06/2014 08:00;140249.486
13/06/2014 06:00;13/06/2014 07:00;69;13/06/2014 08:00;13/06/2014 09:00;147534.723
13/06/2014 07:00;13/06/2014 08:00;70;13/06/2014 09:00;13/06/2014 10:00;154612.536
13/06/2014 08:00;13/06/2014 09:00;71;13/06/2014 10:00;13/06/2014 11:00;159202.146
13/06/2014 09:00;13/06/2014 10:00;72;13/06/2014 11:00;13/06/2014 12:00;163916.814
