TIME;ACTUAL_POWER (kW);WIND_SPEED (m/s)
31.05.2014 23:10;49795.93199;6.153367966
31.05.2014 23:20;49994.79198;6.183731756
31.05.2014 23:30;44935.16175;5.979222149
31.05.2014 23:40;51048.99665;6.243514009
31.05.2014 23:50;62247.32541;6.734315805
01.06.2014 00:00;66449.12619;6.899947277
01.06.2014 00:10;62799.1549;6.632080574
01.06.2014 00:20;49224.64683;6.112917306
01.06.2014 00:30;42164.66127;5.847206451
01.06.2014 00:40;41133.37094;5.786535919
01.06.2014 00:50;37059.97344;5.593159499
01.06.2014 01:00;42183.44485;5.866056295
01.06.2014 01:10;35655.87609;5.544412287
01.06.2014 01:20;34510.68026;5.486361778
01.06.2014 01:30;27373.26701;5.07567566
01.06.2014 01:40;25041.90438;4.903066422
01.06.2014 01:50;31492.98641;5.225445596
01.06.2014 02:00;43493.64528;5.978677709
01.06.2014 02:10;47109.64032;6.107247084
01.06.2014 02:20;40964.23605;5.782034031
01.06.2014 02:30;29351.06712;5.141229825
01.06.2014 02:40;25695.37193;4.98206003
01.06.2014 02:50;26134.49978;5.009654939
01.06.2014 03:00;20668.8214;4.608805627
01.06.2014 03:10;21383.32677;4.705234315
01.06.2014 03:20;21880.40374;4.742640787
01.06.2014 03:30;21069.04896;4.686345738
01.06.2014 03:40;18489.02741;4.479616735
01.06.2014 03:50;23113.46699;4.854345782
01.06.2014 04:00;22720.82111;4.803268333
01.06.2014 04:10;20637.51104;4.643960302
01.06.2014 04:20;14234.42909;4.054587633
01.06.2014 04:30;8784.655082;3.463242239
01.06.2014 04:40;6874.997711;3.161827442
01.06.2014 04:50;6561.687816;2.940612434
01.06.2014 05:00;7110.786292;3.015563909
01.06.2014 05:10;6780.800167;3.082601418
01.06.2014 05:20;5194.751584;2.960313677
01.06.2014 05:30;4127.547747;2.812811725
01.06.2014 05:40;3734.574159;2.706180713
01.06.2014 05:50;2250.473257;2.417386372
01.06.2014 06:00;1103.910858;2.178317449
01.06.2014 06:10;730.0750325;2.16313112
01.06.2014 06:20;885.2879282;2.179467673
01.06.2014 06:30;893.7635832;2.095295877
01.06.2014 06:40;326.0395929;1.951289509
01.06.2014 06:50;-273.3483756;1.775428873
01.06.2014 07:00;-608.9281188;1.69675819
01.06.2014 07:10;-880.0004828;1.448633099
01.06.2014 07:20;-983.4244007;1.28007932
01.06.2014 07:30;-1003.269521;1.124119091
01.06.2014 07:40;-1089.280359;1.106240493
01.06.2014 07:50;-840.8452505;1.208948236
01.06.2014 08:00;-558.3375166;1.30210837
01.06.2014 08:10;-501.6280357;1.430201795
01.06.2014 08:20;-788.5824373;1.490278294
01.06.2014 08:30;-1100.319061;1.2813127
01.06.2014 08:40;-1132.395999;1.207396654
01.06.2014 08:50;-1134.503769;0.897338926
01.06.2014 09:00;-1127.24506;0.729053272
01.06.2014 09:10;-1094.565485;0.754864896
01.06.2014 09:20;-1037.201481;0.800982429
01.06.2014 09:30;-1019.201959;1.166166915
01.06.2014 09:40;-674.5957234;1.48453786
01.06.2014 09:50;-387.5174109;1.730911931
01.06.2014 10:00;-215.4999316;1.804124517
01.06.2014 10:10;356.7987204;1.953304269
01.06.2014 10:20;817.6805063;2.093430357
01.06.2014 10:30;730.627731;2.188462869
01.06.2014 10:40;1187.160938;2.32849819
01.06.2014 10:50;1771.597016;2.482442702
01.06.2014 11:00;3250.579797;2.775862196
01.06.2014 11:10;4931.590089;3.07074538
01.06.2014 11:20;5612.393701;3.183553878
01.06.2014 11:30;8008.206571;3.47538327
01.06.2014 11:40;9033.08228;3.625796337
01.06.2014 11:50;7842.176936;3.469714131
01.06.2014 12:00;6573.656949;3.277683219
01.06.2014 12:10;4962.456686;3.023513245
01.06.2014 12:20;3633.014271;2.807406555
01.06.2014 12:30;2773.805534;2.651497913
01.06.2014 12:40;2555.912158;2.591927488
01.06.2014 12:50;2138.367401;2.524031361
01.06.2014 13:00;2236.087362;2.568549406
01.06.2014 13:10;1820.685743;2.471239457
01.06.2014 13:20;1400.003307;2.363705861
01.06.2014 13:30;1067.866185;2.25654929
01.06.2014 13:40;1261.296162;2.30743039
01.06.2014 13:50;1642.087098;2.410988027
01.06.2014 14:00;957.9678823;2.246980463
01.06.2014 14:10;572.0315866;2.192922528
01.06.2014 14:20;385.1930263;2.091829144
01.06.2014 14:30;132.8397464;1.898771187
01.06.2014 14:40;37.31095767;1.927239224
01.06.2014 14:50;-193.3904194;1.867604385
01.06.2014 15:00;-465.9513283;1.749103024
01.06.2014 15:10;-276.5794997;1.747150016
01.06.2014 15:20;-433.369626;1.74614361
01.06.2014 15:30;-902.4528184;1.598944584
01.06.2014 15:40;-1128.623415;1.400630294
01.06.2014 15:50;-1132.356895;1.38735926
01.06.2014 16:00;-1088.348483;1.299148789
01.06.2014 16:10;-1058.0123;1.264342816
01.06.2014 16:20;-1020.859766;1.187711208
01.06.2014 16:30;-1034.773077;1.23375784
01.06.2014 16:40;-1187.972861;1.328221703
01.06.2014 16:50;-1179.915254;1.185631433
01.06.2014 17:00;-1188.605915;1.099514145
01.06.2014 17:10;-1168.910929;1.396968182
01.06.2014 17:20;-996.775129;1.713619182
01.06.2014 17:30;-1154.571241;1.741596007
